Issuer Name;Ticker;Cpn;Maturity;Series;BBG Composite;Mty Type;Currency;Yld to Mty (Bid);Ask Convexity;Bid Convexity;Next Cpn Dt;Mty (Years Frm Tdy);1st Cpn Pd Typ;Coupon Type
UNE EPM Telecomunicaciones SA;UNEEPM;17.949875;26/05/2026;A10;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;26/05/2023;3.077344285;Normal;FLOATING
Banco de Occidente SA;BANOCC;18.49088;10/06/2026;B120;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;10/06/2023;3.118412047;Normal;FLOATING
Banco Colpatria SA;BNCP;18.564974;16/06/2026;FS10;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;16/06/2023;3.134839151;Normal;FLOATING
Financiera de Desarrollo Territorial SA Findeter;FDT;16.56512;18/06/2026;A;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;18/06/2023;3.140314853;Normal;FLOATING
Grupo de Inversiones Suramericana SA;GRUPOS;17.913152;22/06/2026;C10;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;22/06/2023;3.151266256;Normal;FLOATING
Ecopetrol SA;ECOPET;5.375;26/06/2026;#N/A Field Not Applicable;BB+;CALLABLE;USD;7.35670398;0.095408607;0.095291119;26/06/2023;3.162217659;Normal;FIXED
Ultracem SAS;ULCECO;9;28/06/2026;A;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;28/06/2023;3.167693361;Normal;FIXED
Banco Popular SA;BCOPOP;16.264172;15/07/2026;C5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;15/07/2023;3.214236824;Normal;FLOATING
Banco Popular SA;BCOPOP;6.78;15/07/2026;B5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;15/07/2023;3.214236824;Normal;FIXED
Bancolombia SA;BCOLO;18.55364;27/07/2026;D15;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;27/07/2023;3.247091034;Normal;FLOATING
Empresas Publicas de Medellin ESP;EEPPME;18.066278;29/07/2026;A12a;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;29/04/2023;3.252566735;Normal;FLOATING
Aris Mining Corp;ARISCN;6.875;9/08/2026;REGS;B+;CALLABLE;USD;15.07295371;0.091128539;0.090739754;9/08/2023;3.282683094;Normal;FIXED
Aris Mining Corp;ARISCN;6.875;9/08/2026;144A;B+;CALLABLE;USD;14.78283482;0.091261169;0.091060084;9/08/2023;3.282683094;Normal;FIXED
Itau Corpbanca Colombia SA;SANCOL;17.71205;10/08/2026;C120;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;10/05/2023;3.285420945;Normal;FLOATING
Banco de Occidente SA;BANOCC;15.934025;20/08/2026;B72;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;23/05/2023;3.312799452;Normal;FLOATING
Colombia Government International Bond;COLOM;7.5;26/08/2026;REGS;NR;AT MATURITY;COP;11.24967731;0.098463494;0.098240432;26/08/2023;3.329226557;Normal;FIXED
Colombian TES;COLTES;7.5;26/08/2026;B;BBB-;AT MATURITY;COP;11.35970191;0.098489376;0.098012938;26/08/2023;3.329226557;Normal;FIXED
Colombia Government International Bond;COLOM;7.5;26/08/2026;144A;NR;AT MATURITY;COP;11.24967731;0.098463494;0.098240432;26/08/2023;3.329226557;Normal;FIXED
Banco Davivienda SA;DAVIVI;6.89;7/09/2026;F60;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;7/06/2023;3.362080767;Normal;FIXED
Promigas SA ESP;PROMIG;17.516672;8/09/2026;A10;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;8/06/2023;3.364818617;Normal;FLOATING
Bancolombia SA;BCOLO;16.078016;16/09/2026;C5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;16/06/2023;3.386721424;Normal;FLOATING
Banco Bilbao Vizcaya Argentaria Colombia SA;BANGAN;18.66698;19/09/2026;G180;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;19/06/2023;3.394934976;Normal;FLOATING
Banco Davivienda SA;DAVIVI;6.18;26/09/2026;F;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;26/06/2023;3.414099932;Normal;FIXED
